ID,adm2_src,adm2_name,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
794,TR059009,Saray,TR059,Tekirdag,TUR,Turkey,44472.41999999999,37158.350000000006,10605.65,40588.259999999995,16504.95,33559.63,18060.63,38168.51999999999,41040.71000000001,38953.020000000004,40579.18000000001,42820.73,13602.279999999999,40591.42,1471.58,38999.79,35991.33,42452.17,41687.94,42414.020000000004,32859.84
795,TR059010,Suleymanpasa,TR059,Tekirdag,TUR,Turkey,103477.89,93402.53,94435.40000000001,97846.93000000001,89657.89,34274.66,100482.0,60732.490000000005,99768.59000000001,79277.44,99405.22999999998,76148.08,23448.46,91645.51000000001,87111.64000000001,96280.67,46662.28,86354.49,91762.57,90837.48999999999,94135.13
796,TR059011,Sarkoy,TR059,Tekirdag,TUR,Turkey,11649.2,11279.289999999997,11034.300000000001,12354.5,10723.440000000002,10809.230000000001,12107.980000000001,5861.599999999999,12048.060000000001,12746.64,11756.470000000001,11156.609999999999,10237.220000000001,11308.11,10282.14,10704.59,11825.279999999999,11362.65,10876.439999999999,12059.380000000001,9741.86
797,TR060001,Almus,TR060,Tokat,TUR,Turkey,7333.09,5922.08,5065.24,7297.39,8744.509999999998,10722.560000000001,3580.23,4907.53,7584.31,5791.55,8174.920000000001,8162.660000000001,9535.490000000002,7605.179999999999,5359.25,7538.460000000001,6159.470000000001,2830.05,5914.29,6066.0599999999995,5064.34
798,TR060002,Artova,TR060,Tokat,TUR,Turkey,11049.84,14687.83,12999.93,17143.18,9113.630000000001,8307.460000000001,3590.37,2389.43,794.48,4729.370000000001,7083.92,8638.32,7784.52,7250.87,7851.299999999999,4389.9400000000005,3203.94,1592.37,9511.75,2367.48,11852.320000000002
799,TR060003,Basciftlik,TR060,Tokat,TUR,Turkey,827.85,520.03,609.38,618.8000000000001,622.8100000000001,924.73,793.9,560.69,1516.73,633.01,585.4000000000001,552.63,753.49,684.01,427.25,591.67,564.62,551.73,815.39,247.95,0.0
800,TR060004,Erbaa,TR060,Tokat,TUR,Turkey,28445.83,26866.300000000003,22170.8,22202.510000000002,17767.379999999997,20435.92,22429.3,24983.48,26620.050000000003,27185.43,22255.93,22204.469999999998,23640.739999999998,20964.0,20017.16,25775.989999999998,24843.16,24397.38,21739.890000000003,26737.480000000003,16706.54
801,TR060005,Niksar,TR060,Tokat,TUR,Turkey,17016.51,14932.82,16225.02,13676.87,13640.800000000001,16357.5,15701.619999999999,19635.37,19728.43,15992.18,16789.96,17673.239999999998,14410.12,14347.15,17874.31,15675.650000000001,17568.46,17944.04,14456.29,19764.75,7510.25
802,TR060006,Pazar,TR060,Tokat,TUR,Turkey,4850.88,5317.55,4762.4400000000005,5727.960000000001,5506.72,6785.02,3861.5499999999997,4091.95,3242.6800000000003,80.43,3745.38,7394.160000000001,5023.02,645.1,3021.64,6623.66,4723.67,5814.410000000001,2670.06,3403.6,0.0
803,TR060007,Resadiye,TR060,Tokat,TUR,Turkey,9145.21,7818.959999999999,3811.32,3047.28,4209.66,5627.78,2356.11,1944.7299999999998,6786.5199999999995,9087.28,3054.48,5560.780000000001,5159.99,2823.08,1791.9500000000003,6021.19,3748.92,1103.0,3966.54,4838.959999999999,5335.12
