ID,adm2_src,adm2_name,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
0,TR001001,Aladag,TR001,Adana,TUR,Turkey,10.543057556883769,10.65785653375165,10.625253112062872,10.879273146804408,11.120288467195236,10.984875495388742,10.876891625052709,12.705265875517275,10.314164308097837,11.171417526968929,11.490358267131187,11.689980286654794,11.404534315742204,11.54239559372549,11.416750368364816,12.475745094414512,11.747304974087465,12.16699258429926,11.95032287523491,11.473601369579233,13.11900422501289
1,TR001002,Ceyhan,TR001,Adana,TUR,Turkey,17.43707577686236,17.748972330526133,17.319018209591633,17.36029314052151,17.883086690364845,17.67244704026932,17.95791706613928,19.113427251907872,17.17110609318459,18.136842175514225,18.17590831741774,18.329264999605613,18.17190572469988,18.215515905044658,18.17518174703554,19.257043990606366,18.70467233839043,18.925718405184245,19.070254872320238,18.643960196335804,20.052819499490425
2,TR001003,Cukurova,TR001,Adana,TUR,Turkey,17.322610711689336,17.57352695775288,17.267037174925207,17.106763451936544,17.645345670616667,17.538753929717,17.75525313285588,18.906499582766212,16.995508810252755,17.927932727317796,17.929759513402093,17.984235151132808,18.07605953236909,18.14794995269978,17.964556094350538,19.017422538296966,18.330899966823242,18.617622187360368,18.691081624776675,18.219189787594754,19.721301799257613
3,TR001004,Feke,TR001,Adana,TUR,Turkey,9.422700414652537,9.373213992181606,9.655517894722498,10.001025564117105,10.092594615512686,9.662906524686878,9.840919869368161,11.850506071447098,9.245894695452874,9.927366783674069,10.520084731368824,11.067929601197372,10.349407169456406,10.488301261993032,10.359505400489818,11.634211394771619,10.762505965800758,11.1016831059041,10.58071853263251,10.223671892895673,12.197340072451919
4,TR001005,Imamoglu,TR001,Adana,TUR,Turkey,16.187910635871457,16.486896158110508,16.06214873116203,16.139579482783166,16.63811964608512,16.46334928867091,16.663801480340748,17.910614925575235,15.921274160949602,16.952976405604108,17.002097683952126,16.96541669987693,16.955824118487495,16.907555543095146,16.91146458284363,18.038936431331955,17.45117831298809,17.846237689777425,17.89249305275997,17.407375600952943,18.80836243660716
5,TR001006,Karaisali,TR001,Adana,TUR,Turkey,14.475274716547618,14.674453977083928,14.459240005489695,14.480020701038505,14.902289285554902,14.813814055305357,14.887176854177175,16.247896128160747,14.222547395891503,15.095441138730791,15.234717028143978,15.249153700555388,15.263275862638707,15.355895130690108,15.1988390669634,16.24303701402967,15.524304778142636,15.849125458955895,15.836886092760011,15.368953114986772,16.892159616939214
6,TR001007,Karatas,TR001,Adana,TUR,Turkey,18.984033812289727,19.031767253899808,18.79212191407248,18.694184946921542,19.209056590749498,19.03011427794669,19.25531751167851,20.31324019656878,18.633642999548105,19.293185441359704,19.389459837040903,19.632671760227577,19.46496611856807,19.635941376706608,19.490703679933315,20.51693330094037,19.853297616418647,19.96900111330919,20.028274033336732,19.596112405034017,20.88145517166274
7,TR001008,Kozan,TR001,Adana,TUR,Turkey,13.157368223402429,13.342511497173737,13.258963837875726,13.445849648686062,13.799961309521612,13.54811028902648,13.661948250188878,15.184600941800065,13.065382274103222,13.833141454573036,14.194245277506335,14.283343013494898,14.027245151846829,14.09517383998707,13.997236102834345,15.205320244435923,14.492738216514054,14.830983924324284,14.72913607464947,14.193928674464244,15.898712436923855
8,TR001009,Pozanti,TR001,Adana,TUR,Turkey,9.730450104909263,9.837981944079864,9.790567891108951,10.059549975631112,10.345390968019545,10.19486985468034,9.998855105838294,11.932398879767485,9.391035346775247,10.247902942548164,10.581933014509326,10.992161097291358,10.520763968785397,10.803102660809378,10.609843534951377,11.655063930823333,10.816038725284388,11.097375534021067,10.880784362945576,10.459911519954076,12.202073997527016
9,TR001010,Saimbeyli,TR001,Adana,TUR,Turkey,8.200258449600033,8.194449077306126,8.408843189355592,8.939291068981195,8.901538393004966,8.446951858928317,8.618012903474249,10.867865337629866,7.9911634236999705,8.77615604251027,9.307586177893066,10.111516159592513,9.269095731524004,9.425228258721505,9.274574694181185,10.567319717697341,9.648115017854865,10.036967977328816,9.469445982664395,9.20899546403639,11.253767932625895
10,TR001011,Saricam,TR001,Adana,TUR,Turkey,17.391907423769478,17.664262981698688,17.26190786480619,17.214623246333463,17.753856245038797,17.583809288349748,17.80611333553617,18.99935087096625,17.042767982836033,18.01623734486836,18.036912061623802,18.129521838977357,18.093336835447214,18.11117767290195,18.04077859729414,19.10974498135172,18.51362028896205,18.796702982940204,18.833828876507905,18.397502018812208,19.7695818839747
11,TR001012,Seyhan,TR001,Adana,TUR,Turkey,18.0158201942778,18.220974257763377,17.991491238221524,17.791165481347537,18.356016334007876,18.218873378882446,18.422538914287937,19.594695745360386,17.70348640910625,18.527998331081335,18.583591236988227,18.85081214709842,18.74677325402857,18.953169704445287,18.66400645934554,19.74873250076381,19.049200132044223,19.214077033437793,19.411913872558756,18.90601768764972,20.425325009413513
12,TR001013,Tufanbeyli,TR001,Adana,TUR,Turkey,6.825143284516163,6.708674183764308,6.853286160286502,7.63391336811191,7.4809149250231775,7.014230708579525,7.107966936034881,9.654090376137278,6.351657469600954,7.464043188955938,7.782331649369517,8.951575678963836,7.851338086548658,7.977987180891442,7.871664047412637,9.236963008329193,8.25513405307066,8.46502406583918,7.7901913884052805,7.709604170815513,9.698710464168787
13,TR001014,Yumurtalik,TR001,Adana,TUR,Turkey,18.345483545519095,18.468745396722216,18.122445861315526,18.16291647884971,18.612097274676184,18.389220794097056,18.637651114883298,19.73736729215379,17.96153864026346,18.755822627546234,18.78978704990961,18.971693739777134,18.784995047740978,18.860348127693424,18.855732530916686,19.872649816536974,19.32809419815435,19.392745208434153,19.398866415646534,19.0305987287138,20.27052232410336
14,TR001015,Yuregir,TR001,Adana,TUR,Turkey,18.347181601095905,18.5162881536025,18.20428630045166,18.12928408730976,18.662701405387985,18.4607545207913,18.682378896508922,19.82339447139203,17.979787587332087,18.80624325170036,18.852688106525232,19.10113377642546,18.909992141046708,19.048886509162077,18.92445603293666,19.983930772910675,19.365681336749414,19.496243275992853,19.58146240470036,19.14422438812031,20.496262331841994
15,TR002001,Adiyaman,TR002,Adiyaman,TUR,Turkey,13.694916201040735,13.717305850819686,13.955111537839977,14.39285457294988,14.06480634166924,14.254620931059504,14.12640862699302,16.344793453007448,13.584551679097222,14.353559787263736,14.513505027183955,15.514293160978191,14.853989825311428,15.028237578357478,14.944768459012797,15.892396532124053,14.987093011941106,15.199398160814752,15.460255442281797,15.202344304861407,16.767087227806265
16,TR002002,Besni,TR002,Adiyaman,TUR,Turkey,14.225765709747185,14.318223659535022,14.51440129331727,14.91002340619596,14.749597460845782,14.86509675439555,14.809756944537293,16.8705186553618,14.266008908839739,14.94360985918906,15.13009532074009,15.998026969934152,15.401994781836978,15.79818522266831,15.43895247015344,16.522491568501298,15.580488482894472,15.789601731935525,16.057876290340932,15.783045799731036,17.4520128761915
17,TR002003,Celikhan,TR002,Adiyaman,TUR,Turkey,9.3989951495772,9.529756302262877,9.770784771632337,10.30354156654416,9.897396092729084,9.881396791656087,9.72389030628401,12.305347948124068,9.04284139956951,10.003312812955889,10.237888892621664,11.38227052735998,10.706314398322911,10.615802448274655,10.830558297512953,11.673445317775263,10.874813015499534,11.085000895907664,11.21286486110631,10.74349056084803,12.258751760718624
