ID,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
0,TR001,Adana,TUR,Turkey,12.99799991299795,13.119697158396201,13.019466599190904,13.225337955581082,13.527327760619698,13.279988124147673,13.391010518978923,15.033289034160768,12.730697390506075,13.58766113326628,13.843493523859584,14.192873705435519,13.814361106272804,13.937551538421518,13.814352363274944,14.958217586848747,14.213513048757456,14.496596292537212,14.326696759717628,13.92102433639792,15.579229237916968
1,TR002,Adiyaman,TUR,Turkey,13.06904561875435,13.125450940761661,13.416213440642695,13.792944823989624,13.542129144176378,13.653850297051216,13.542887246396683,15.793178420036208,13.031378403435133,13.734331190789895,13.92599500144948,14.932026959581831,14.285041945232948,14.443078758519293,14.379684740089132,15.371200342807889,14.445921566501303,14.63673064384974,14.914851895869011,14.570730273273467,16.162153164300513
2,TR003,Afyonkarahisar,TUR,Turkey,10.174484223815353,10.548458156525312,10.466014832637597,10.516017254943252,11.570400200174127,11.3582414644814,10.943667685088139,12.60224155502227,10.022684608197444,11.19874401485643,11.39859302523512,11.911078689145377,10.785891004350601,11.885956984453957,11.075736719370424,12.408302584921683,11.95519778841007,12.131702334566008,11.484804994069572,10.84622057355908,12.886333137683454
3,TR004,Agri,TUR,Turkey,5.046117347452476,4.90871598928051,5.30900632453917,6.093672029144575,4.966414848624728,5.461639303373254,4.995353291961018,7.534444432691572,4.818894965458592,5.503863436203024,5.521875381368706,6.530882130633338,6.324893776428901,5.515949895143565,6.084075642671821,7.597341791941264,6.488622489800675,6.4580285400545625,7.095983609672543,6.644470766399697,8.227273311021735
4,TR005,Amasya,TUR,Turkey,9.395778149973205,9.289923479032982,10.010565493765226,9.843295451768393,10.640230415907947,9.811849565838038,10.196102465051679,11.833463507200577,9.291933328084605,10.417090710022872,10.672840972367629,11.687860113514214,10.557864847803417,10.70995589290969,10.677521819998836,12.112952340349684,11.076961934711077,11.538661802245949,10.755853717577937,10.467497705244087,12.376081493181177
5,TR006,Ankara,TUR,Turkey,10.6882101383026,10.687431673011035,10.838887186587352,10.739931084553278,11.596201865088949,11.201928371340118,11.046124726820416,12.715500678183313,10.038675496160897,11.357830570938285,11.456931386098118,12.198579710111161,11.055852942934093,11.591117792233073,11.26024109853149,12.630616582745732,11.84084114433427,12.315958047981624,11.318699724477632,11.010026311903651,13.194949537412507
6,TR007,Antalya,TUR,Turkey,12.468855110545974,12.517693733253765,12.341480551406443,12.544973475125849,13.019567674273587,13.065613212718517,12.802735436140047,14.10684049129784,12.243812292792212,12.89034948164399,13.143863003018042,13.144555250165013,12.843789378125583,13.502570215923887,12.932716762168731,14.08822979872397,13.422619999636247,13.951181031384442,13.871436873003708,13.210320081092718,14.699942938262188
7,TR008,Artvin,TUR,Turkey,4.840897618945402,4.886468695044343,5.3827863209464395,5.848285071865283,5.300671852943653,5.527035878006475,5.455692053870475,7.898684095004858,4.819179891748418,6.167926184078339,5.632182555165444,6.899113954713332,6.742920010798667,5.919484318683097,6.291951911384754,7.961315396087671,7.10986178838862,7.115746197722607,6.785719543797964,6.464103054366521,8.283967901438658
8,TR009,Aydin,TUR,Turkey,15.479566917057118,15.727495378148767,15.373520055580153,15.549786890465512,16.466475781625082,16.36400011936361,16.0147171094298,16.91743341008001,15.145413752393933,16.369839078550218,16.05818213819595,16.34347577521158,15.98573807405503,16.554056987122365,16.22597780516984,17.135968261154954,16.86995386828482,16.848910102053434,16.735598007254683,16.321568846205317,17.76097110687096
9,TR010,Balikesir,TUR,Turkey,12.364848116556802,12.94311824476698,12.93218316341327,12.754271831673565,13.715612321340684,13.55120766344301,13.489618386602123,14.294697693000641,12.233580048888745,13.746306448312465,13.791849468734776,14.136027921398743,13.444922701468888,13.865210213227655,13.230631504645828,14.402681761760746,14.107060876773524,14.038780237780822,13.733012153722747,13.489363466601903,15.078087938426844
